MaSP,TenSP,MoTaSP,SoLuongTonKho,LoaiSP,GiaSP
S104,Son Moi 798,San Pham Tot,802,Quan Tang,706091
S105,Hoa Anh Dao 827,San Pham Tot,598,Quan Tang,807485
S106,Mascara 534,San Pham Tot,144,Hoa Sinh Nhat,563739
S107,Hoa Hue 746,San Pham Tot,895,Quan Tang,277035
S108,Nuoc Hoa 725,San Pham Tot,121,Quan Tang,309202
S109,Hoa Cuc 815,San Pham Tot,156,Hoa Sinh Nhat,585530
S110,Mascara 517,San Pham Tot,435,Quan Tang,715459
S111,Hoa Tigon 922,San Pham Tot,658,Quan Tang,680348
S112,Son Moi 696,San Pham Tot,960,Hoa Sinh Nhat,511297
S113,Hoa Anh Dao 716,San Pham Tot,284,Quan Tang,247864
S114,Son Moi 774,San Pham Tot,663,Quan Tang,879684
S115,Hoa Mai 529,San Pham Tot,480,Hoa Sinh Nhat,636739
S116,Ao Khoac 735,San Pham Tot,794,Quan Tang,953944
S117,Hoa Dam But 916,San Pham Tot,167,Quan Tang,271791
S118,Gau Bong 865,San Pham Tot,377,Hoa Sinh Nhat,328340
S119,Hoa Huong Duong 526,San Pham Tot,133,Quan Tang,223174
S120,Nuoc Hoa 902,San Pham Tot,399,Quan Tang,695846
S121,Hoa Cuc 801,San Pham Tot,854,Hoa Sinh Nhat,930661
S122,Gau Bong 798,San Pham Tot,904,Quan Tang,996864
S123,Hoa Tigon 946,San Pham Tot,158,Quan Tang,318762
S124,Son Moi 603,San Pham Tot,944,Hoa Sinh Nhat,808617
S125,Hoa Tigon 836,San Pham Tot,993,Quan Tang,220782
S126,Nuoc Hoa 741,San Pham Tot,488,Quan Tang,974353
S127,Hoa Cuc 784,San Pham Tot,378,Hoa Sinh Nhat,630654
S128,Kep Toc 869,San Pham Tot,279,Quan Tang,612999
S129,Hoa Dam But 798,San Pham Tot,744,Quan Tang,268779
S130,Mascara 513,San Pham Tot,103,Hoa Sinh Nhat,625634
S131,Hoa Tigon 686,San Pham Tot,642,Quan Tang,818057
S132,Kep Toc 653,San Pham Tot,497,Quan Tang,440250
S133,Hoa Hue 951,San Pham Tot,457,Hoa Sinh Nhat,866057
S134,Nuoc Hoa 928,San Pham Tot,775,Quan Tang,526404
S135,Hoa Dam But 827,San Pham Tot,415,Quan Tang,300266
S136,Ao Khoac 755,San Pham Tot,582,Hoa Sinh Nhat,247840
S137,Hoa Hong 669,San Pham Tot,231,Quan Tang,429277
S138,Gau Bong 546,San Pham Tot,120,Quan Tang,402261
S139,Hoa Hong 784,San Pham Tot,410,Hoa Sinh Nhat,992165
S140,Gau Bong 505,San Pham Tot,398,Quan Tang,885859
S141,Hoa Cuc 564,San Pham Tot,468,Quan Tang,777873
S142,Son Moi 544,San Pham Tot,898,Hoa Sinh Nhat,868216
S143,Hoa Tulip 850,San Pham Tot,781,Quan Tang,303858
S144,Gau Bong 579,San Pham Tot,423,Quan Tang,287552
S145,Hoa Hue 567,San Pham Tot,215,Hoa Sinh Nhat,467416
S146,Nuoc Hoa 645,San Pham Tot,777,Quan Tang,496706
S147,Hoa Lan 676,San Pham Tot,794,Quan Tang,405681
S148,Gau Bong 971,San Pham Tot,736,Hoa Sinh Nhat,409681
S149,Hoa Tulip 672,San Pham Tot,879,Quan Tang,882780
S150,Gau Bong 570,San Pham Tot,279,Quan Tang,803199
S151,Hoa Hong 755,San Pham Tot,623,Hoa Sinh Nhat,557515
S152,Mascara 805,San Pham Tot,366,Quan Tang,984050
S153,Hoa Huong Duong 939,San Pham Tot,344,Quan Tang,564990
S154,Kep Toc 763,San Pham Tot,462,Hoa Sinh Nhat,895004
S155,Hoa Anh Dao 873,San Pham Tot,285,Quan Tang,537789
S156,Son Moi 617,San Pham Tot,743,Quan Tang,354047
S157,Hoa Mai 836,San Pham Tot,979,Hoa Sinh Nhat,344967
S158,Kep Toc 729,San Pham Tot,556,Quan Tang,240765
S159,Hoa Lan 876,San Pham Tot,260,Quan Tang,794380
S160,Kep Toc 996,San Pham Tot,466,Hoa Sinh Nhat,228764
S161,Hoa Cuc 854,San Pham Tot,466,Quan Tang,675762
S162,Ao Khoac 677,San Pham Tot,994,Quan Tang,563755
S163,Hoa Anh Dao 982,San Pham Tot,450,Hoa Sinh Nhat,759731
S164,Kep Toc 932,San Pham Tot,315,Quan Tang,204454
S165,Hoa Tulip 535,San Pham Tot,824,Quan Tang,647412
S166,Son Moi 663,San Pham Tot,265,Hoa Sinh Nhat,942424
S167,Hoa Tigon 664,San Pham Tot,851,Quan Tang,759729
S168,Mascara 867,San Pham Tot,889,Quan Tang,310210
S169,Hoa Cuc 735,San Pham Tot,489,Hoa Sinh Nhat,691439
S170,Son Moi 642,San Pham Tot,148,Quan Tang,999350
S171,Hoa Tigon 965,San Pham Tot,498,Quan Tang,377275
S172,Son Moi 569,San Pham Tot,883,Hoa Sinh Nhat,808087
S173,Hoa Huong Duong 572,San Pham Tot,639,Quan Tang,994920
S174,Gau Bong 951,San Pham Tot,248,Quan Tang,553114
S175,Hoa Anh Dao 785,San Pham Tot,910,Hoa Sinh Nhat,783998
S176,Nuoc Hoa 771,San Pham Tot,161,Quan Tang,234536
S177,Hoa Hue 704,San Pham Tot,413,Quan Tang,362921
S178,Kep Toc 894,San Pham Tot,147,Hoa Sinh Nhat,346847
S179,Hoa Hong 555,San Pham Tot,186,Quan Tang,449905
S180,Kep Toc 875,San Pham Tot,594,Quan Tang,701339
S181,Hoa Mai 517,San Pham Tot,726,Hoa Sinh Nhat,232483
S182,Nuoc Hoa 707,San Pham Tot,871,Quan Tang,849552
S183,Hoa Cuc 642,San Pham Tot,683,Quan Tang,912090
S184,Ao Khoac 595,San Pham Tot,304,Hoa Sinh Nhat,887378
S185,Hoa Hue 772,San Pham Tot,721,Quan Tang,500772
S186,Kep Toc 959,San Pham Tot,267,Quan Tang,775007
S187,Hoa Lan 945,San Pham Tot,485,Hoa Sinh Nhat,578682
S188,Son Moi 666,San Pham Tot,676,Quan Tang,222655
S189,Hoa Cuc 916,San Pham Tot,672,Quan Tang,511956
S190,Ao Khoac 517,San Pham Tot,839,Hoa Sinh Nhat,353417
S191,Hoa Hue 866,San Pham Tot,996,Quan Tang,649310
S192,Kep Toc 622,San Pham Tot,144,Quan Tang,823733
S193,Hoa Huong Duong 644,San Pham Tot,456,Hoa Sinh Nhat,349820
S194,Nuoc Hoa 641,San Pham Tot,131,Quan Tang,606203
S195,Hoa Mai 703,San Pham Tot,840,Quan Tang,430577
S196,Gau Bong 548,San Pham Tot,150,Hoa Sinh Nhat,622221
S197,Hoa Tulip 824,San Pham Tot,311,Quan Tang,205861
S198,Nuoc Hoa 952,San Pham Tot,496,Quan Tang,928885
S199,Hoa Tigon 593,San Pham Tot,272,Hoa Sinh Nhat,370692
S200,Mascara 559,San Pham Tot,805,Quan Tang,481834
S201,Hoa Huong Duong 686,San Pham Tot,762,Quan Tang,509849
S202,Ao Khoac 513,San Pham Tot,313,Hoa Sinh Nhat,914373
S203,Hoa Anh Dao 955,San Pham Tot,395,Quan Tang,382232
S204,Gau Bong 650,San Pham Tot,608,Quan Tang,314937
S205,Hoa Dam But 532,San Pham Tot,891,Hoa Sinh Nhat,648390
S206,Ao Khoac 705,San Pham Tot,864,Quan Tang,620729
S207,Hoa Tigon 552,San Pham Tot,447,Quan Tang,973447
S208,Mascara 738,San Pham Tot,388,Hoa Sinh Nhat,994899
S209,Hoa Hue 895,San Pham Tot,328,Quan Tang,983305
S210,Gau Bong 674,San Pham Tot,224,Quan Tang,406020
S211,Hoa Cuc 949,San Pham Tot,676,Hoa Sinh Nhat,840340
S212,Mascara 960,San Pham Tot,536,Quan Tang,760508
S213,Hoa Cuc 648,San Pham Tot,326,Quan Tang,700584
S214,Son Moi 518,San Pham Tot,683,Hoa Sinh Nhat,670083
S215,Hoa Hue 867,San Pham Tot,964,Quan Tang,961379
S216,Gau Bong 677,San Pham Tot,685,Quan Tang,517242
S217,Hoa Tulip 864,San Pham Tot,933,Hoa Sinh Nhat,447643
S218,Mascara 618,San Pham Tot,468,Quan Tang,933083
S219,Hoa Tulip 699,San Pham Tot,385,Quan Tang,739671
S220,Mascara 725,San Pham Tot,273,Hoa Sinh Nhat,571582
S221,Hoa Mai 807,San Pham Tot,571,Quan Tang,467996
S222,Kep Toc 727,San Pham Tot,952,Quan Tang,468533
S223,Hoa Lan 809,San Pham Tot,360,Hoa Sinh Nhat,847184
S224,Mascara 654,San Pham Tot,778,Quan Tang,713355
S225,Hoa Tulip 831,San Pham Tot,220,Quan Tang,476657
S226,Kep Toc 537,San Pham Tot,707,Hoa Sinh Nhat,845261
S227,Hoa Huong Duong 671,San Pham Tot,693,Quan Tang,628469
S228,Nuoc Hoa 846,San Pham Tot,820,Quan Tang,646558
S229,Hoa Huong Duong 852,San Pham Tot,295,Hoa Sinh Nhat,681610
S230,Mascara 924,San Pham Tot,491,Quan Tang,273787
S231,Hoa Tigon 671,San Pham Tot,946,Quan Tang,604951
S232,Mascara 708,San Pham Tot,988,Hoa Sinh Nhat,493896
S233,Hoa Dam But 692,San Pham Tot,573,Quan Tang,493328
S234,Kep Toc 643,San Pham Tot,158,Quan Tang,812857
S235,Hoa Cuc 883,San Pham Tot,138,Hoa Sinh Nhat,463938
S236,Ao Khoac 750,San Pham Tot,836,Quan Tang,581753
S237,Hoa Tigon 550,San Pham Tot,528,Quan Tang,969743
S238,Nuoc Hoa 686,San Pham Tot,493,Hoa Sinh Nhat,461787
S239,Hoa Hong 846,San Pham Tot,687,Quan Tang,573780
S240,Ao Khoac 870,San Pham Tot,877,Quan Tang,976078
S241,Hoa Hue 694,San Pham Tot,655,Hoa Sinh Nhat,635184
S242,Kep Toc 929,San Pham Tot,374,Quan Tang,902152
S243,Hoa Tigon 901,San Pham Tot,240,Quan Tang,815282
S244,Kep Toc 747,San Pham Tot,201,Hoa Sinh Nhat,205098
S245,Hoa Anh Dao 592,San Pham Tot,393,Quan Tang,638014
S246,Nuoc Hoa 604,San Pham Tot,345,Quan Tang,391333
S247,Hoa Dam But 564,San Pham Tot,390,Hoa Sinh Nhat,285888
S248,Gau Bong 880,San Pham Tot,598,Quan Tang,562767
S249,Hoa Cuc 670,San Pham Tot,265,Quan Tang,915571
S250,Son Moi 899,San Pham Tot,376,Hoa Sinh Nhat,713512
S251,Hoa Hong 556,San Pham Tot,181,Quan Tang,321519
S252,Son Moi 511,San Pham Tot,775,Quan Tang,699079
S253,Hoa Huong Duong 657,San Pham Tot,376,Hoa Sinh Nhat,784060
S254,Son Moi 965,San Pham Tot,403,Quan Tang,914656
S255,Hoa Hue 947,San Pham Tot,556,Quan Tang,299679
S256,Kep Toc 850,San Pham Tot,816,Hoa Sinh Nhat,250392
S257,Hoa Lan 602,San Pham Tot,336,Quan Tang,857073
S258,Kep Toc 564,San Pham Tot,105,Quan Tang,553858
S259,Hoa Hue 967,San Pham Tot,472,Hoa Sinh Nhat,772303
S260,Nuoc Hoa 951,San Pham Tot,773,Quan Tang,982402
S261,Hoa Tulip 910,San Pham Tot,672,Quan Tang,286234
S262,Mascara 890,San Pham Tot,905,Hoa Sinh Nhat,781268
S263,Hoa Tigon 801,San Pham Tot,700,Quan Tang,488674
S264,Kep Toc 523,San Pham Tot,904,Quan Tang,806711
S265,Hoa Anh Dao 672,San Pham Tot,534,Hoa Sinh Nhat,654913
S266,Gau Bong 527,San Pham Tot,924,Quan Tang,308064
S267,Hoa Dam But 548,San Pham Tot,153,Quan Tang,241319
S268,Son Moi 895,San Pham Tot,189,Hoa Sinh Nhat,661129
S269,Hoa Hong 522,San Pham Tot,293,Quan Tang,527864
S270,Nuoc Hoa 846,San Pham Tot,381,Quan Tang,843160
S271,Hoa Lan 901,San Pham Tot,195,Hoa Sinh Nhat,578072
S272,Son Moi 914,San Pham Tot,752,Quan Tang,751383
S273,Hoa Lan 982,San Pham Tot,562,Quan Tang,589845
S274,Gau Bong 840,San Pham Tot,230,Hoa Sinh Nhat,662264
S275,Hoa Tulip 798,San Pham Tot,968,Quan Tang,620856
S276,Gau Bong 896,San Pham Tot,438,Quan Tang,801407
S277,Hoa Hong 695,San Pham Tot,499,Hoa Sinh Nhat,995668
S278,Gau Bong 840,San Pham Tot,501,Quan Tang,668554
S279,Hoa Hue 590,San Pham Tot,258,Quan Tang,376032
S280,Nuoc Hoa 708,San Pham Tot,812,Hoa Sinh Nhat,945434
S281,Hoa Huong Duong 824,San Pham Tot,388,Quan Tang,413233
S282,Ao Khoac 965,San Pham Tot,584,Quan Tang,870415
S283,Hoa Dam But 801,San Pham Tot,789,Hoa Sinh Nhat,432780
S284,Kep Toc 819,San Pham Tot,483,Quan Tang,838936
S285,Hoa Tigon 816,San Pham Tot,698,Quan Tang,803421
S286,Nuoc Hoa 680,San Pham Tot,124,Hoa Sinh Nhat,793955
S287,Hoa Huong Duong 673,San Pham Tot,818,Quan Tang,686832
S288,Kep Toc 810,San Pham Tot,986,Quan Tang,462491
S289,Hoa Tigon 623,San Pham Tot,209,Hoa Sinh Nhat,956751
S290,Nuoc Hoa 876,San Pham Tot,857,Quan Tang,512362
S291,Hoa Hong 527,San Pham Tot,802,Quan Tang,612931
S292,Son Moi 733,San Pham Tot,880,Hoa Sinh Nhat,280063
S293,Hoa Tulip 578,San Pham Tot,761,Quan Tang,674671
S294,Ao Khoac 620,San Pham Tot,542,Quan Tang,478558
S295,Hoa Anh Dao 837,San Pham Tot,317,Hoa Sinh Nhat,863870
S296,Ao Khoac 886,San Pham Tot,359,Quan Tang,768867
S297,Hoa Tulip 512,San Pham Tot,231,Quan Tang,316690
S298,Kep Toc 762,San Pham Tot,809,Hoa Sinh Nhat,553714
S299,Hoa Cuc 526,San Pham Tot,276,Quan Tang,350416
S300,Kep Toc 795,San Pham Tot,787,Quan Tang,679640
S301,Hoa Anh Dao 946,San Pham Tot,121,Hoa Sinh Nhat,695075
S302,Gau Bong 668,San Pham Tot,824,Quan Tang,387942
S303,Hoa Lan 875,San Pham Tot,353,Quan Tang,225706
S304,Gau Bong 604,San Pham Tot,640,Hoa Sinh Nhat,555814
S305,Hoa Hue 962,San Pham Tot,384,Quan Tang,888787
S306,Gau Bong 664,San Pham Tot,674,Quan Tang,359524
S307,Hoa Huong Duong 1000,San Pham Tot,455,Hoa Sinh Nhat,361421
S308,Kep Toc 925,San Pham Tot,793,Quan Tang,238739
S309,Hoa Mai 727,San Pham Tot,898,Quan Tang,841977
S310,Gau Bong 960,San Pham Tot,902,Hoa Sinh Nhat,567844
S311,Hoa Cuc 685,San Pham Tot,657,Quan Tang,595664
S312,Son Moi 677,San Pham Tot,977,Quan Tang,765548
S313,Hoa Huong Duong 614,San Pham Tot,412,Hoa Sinh Nhat,753878
S314,Mascara 965,San Pham Tot,121,Quan Tang,785501
S315,Hoa Cuc 973,San Pham Tot,103,Quan Tang,367656
S316,Mascara 678,San Pham Tot,631,Hoa Sinh Nhat,600543
S317,Hoa Hong 785,San Pham Tot,773,Quan Tang,596501
S318,Nuoc Hoa 769,San Pham Tot,871,Quan Tang,881532
S319,Hoa Tulip 751,San Pham Tot,453,Hoa Sinh Nhat,248829
S320,Gau Bong 906,San Pham Tot,128,Quan Tang,772732
S321,Hoa Huong Duong 713,San Pham Tot,817,Quan Tang,697348
S322,Son Moi 988,San Pham Tot,994,Hoa Sinh Nhat,942871
S323,Hoa Hong 709,San Pham Tot,579,Quan Tang,236685
S324,Ao Khoac 980,San Pham Tot,181,Quan Tang,807895
S325,Hoa Huong Duong 508,San Pham Tot,342,Hoa Sinh Nhat,931634
S326,Gau Bong 990,San Pham Tot,669,Quan Tang,394753
S327,Hoa Mai 708,San Pham Tot,746,Quan Tang,356552
S328,Kep Toc 533,San Pham Tot,764,Hoa Sinh Nhat,694420
S329,Hoa Mai 745,San Pham Tot,593,Quan Tang,904369
S330,Ao Khoac 625,San Pham Tot,192,Quan Tang,344070
S331,Hoa Mai 729,San Pham Tot,848,Hoa Sinh Nhat,759737
S332,Gau Bong 639,San Pham Tot,785,Quan Tang,950797
S333,Hoa Dam But 830,San Pham Tot,841,Quan Tang,986367
S334,Gau Bong 824,San Pham Tot,863,Hoa Sinh Nhat,343442
S335,Hoa Huong Duong 943,San Pham Tot,636,Quan Tang,826723
S336,Mascara 671,San Pham Tot,354,Quan Tang,556758
S337,Hoa Dam But 847,San Pham Tot,685,Hoa Sinh Nhat,361074
S338,Ao Khoac 737,San Pham Tot,454,Quan Tang,792753
S339,Hoa Lan 646,San Pham Tot,827,Quan Tang,219258
S340,Son Moi 537,San Pham Tot,187,Hoa Sinh Nhat,554775
S341,Hoa Mai 975,San Pham Tot,805,Quan Tang,741035
S342,Kep Toc 562,San Pham Tot,692,Quan Tang,504841
S343,Hoa Cuc 543,San Pham Tot,319,Hoa Sinh Nhat,886324
S344,Son Moi 543,San Pham Tot,423,Quan Tang,554374
S345,Hoa Huong Duong 673,San Pham Tot,717,Quan Tang,814513
S346,Nuoc Hoa 813,San Pham Tot,420,Hoa Sinh Nhat,422688
S347,Hoa Tigon 548,San Pham Tot,788,Quan Tang,218237
S348,Son Moi 784,San Pham Tot,144,Quan Tang,622271
S349,Hoa Mai 686,San Pham Tot,181,Hoa Sinh Nhat,756691
S350,Ao Khoac 739,San Pham Tot,194,Quan Tang,258505
S351,Hoa Dam But 800,San Pham Tot,790,Quan Tang,534699
S352,Mascara 980,San Pham Tot,590,Hoa Sinh Nhat,703904
S353,Hoa Mai 515,San Pham Tot,422,Quan Tang,709417
S354,Mascara 628,San Pham Tot,127,Quan Tang,287190
S355,Hoa Mai 909,San Pham Tot,501,Hoa Sinh Nhat,517536
S356,Kep Toc 961,San Pham Tot,515,Quan Tang,883029
S357,Hoa Dam But 817,San Pham Tot,823,Quan Tang,619304
S358,Kep Toc 713,San Pham Tot,364,Hoa Sinh Nhat,388745
S359,Hoa Hue 794,San Pham Tot,693,Quan Tang,730576
S360,Kep Toc 536,San Pham Tot,984,Quan Tang,228949
S361,Hoa Lan 913,San Pham Tot,520,Hoa Sinh Nhat,537834
S362,Nuoc Hoa 877,San Pham Tot,230,Quan Tang,372252
S363,Hoa Cuc 981,San Pham Tot,351,Quan Tang,996512
S364,Nuoc Hoa 669,San Pham Tot,547,Hoa Sinh Nhat,727198
S365,Hoa Hue 901,San Pham Tot,485,Quan Tang,638104
S366,Ao Khoac 748,San Pham Tot,850,Quan Tang,385589
S367,Hoa Lan 912,San Pham Tot,703,Hoa Sinh Nhat,331611
S368,Ao Khoac 803,San Pham Tot,116,Quan Tang,676517
S369,Hoa Tigon 787,San Pham Tot,197,Quan Tang,428971
S370,Mascara 977,San Pham Tot,999,Hoa Sinh Nhat,485113
S371,Hoa Dam But 795,San Pham Tot,315,Quan Tang,792068
S372,Kep Toc 824,San Pham Tot,568,Quan Tang,593474
S373,Hoa Hong 831,San Pham Tot,522,Hoa Sinh Nhat,799089
S374,Kep Toc 761,San Pham Tot,366,Quan Tang,620159
S375,Hoa Dam But 594,San Pham Tot,153,Quan Tang,862676
S376,Kep Toc 541,San Pham Tot,372,Hoa Sinh Nhat,855960
S377,Hoa Cuc 579,San Pham Tot,283,Quan Tang,902729
S378,Kep Toc 673,San Pham Tot,984,Quan Tang,861777
S379,Hoa Hong 980,San Pham Tot,305,Hoa Sinh Nhat,359985
S380,Gau Bong 842,San Pham Tot,251,Quan Tang,520414
S381,Hoa Hue 904,San Pham Tot,460,Quan Tang,203861
S382,Mascara 546,San Pham Tot,458,Hoa Sinh Nhat,286461
S383,Hoa Lan 636,San Pham Tot,155,Quan Tang,708283
S384,Ao Khoac 505,San Pham Tot,680,Quan Tang,686803
S385,Hoa Cuc 709,San Pham Tot,723,Hoa Sinh Nhat,495613
S386,Mascara 577,San Pham Tot,293,Quan Tang,623361
S387,Hoa Anh Dao 972,San Pham Tot,323,Quan Tang,622072
S388,Nuoc Hoa 562,San Pham Tot,671,Hoa Sinh Nhat,914187
S389,Hoa Hue 735,San Pham Tot,771,Quan Tang,954899
S390,Gau Bong 947,San Pham Tot,693,Quan Tang,341036
S391,Hoa Anh Dao 728,San Pham Tot,769,Hoa Sinh Nhat,323090
S392,Kep Toc 578,San Pham Tot,164,Quan Tang,597637
S393,Hoa Lan 624,San Pham Tot,704,Quan Tang,729313
S394,Kep Toc 516,San Pham Tot,521,Hoa Sinh Nhat,584791
S395,Hoa Cuc 755,San Pham Tot,911,Quan Tang,473764
S396,Nuoc Hoa 675,San Pham Tot,453,Quan Tang,292319
